,Station,GTPName,DT,Year,Month,Day,Hour,TG,RSV_volume,RD_volume,RSV_Price,AVG_Price
107,Адлерская ТЭС                 ,GADLERT1,2020-02-02 19:00:00,2020,2,2,19,183.0,162.16,20.84,1856.37118,1856.3712
108,Красноярская ГРЭС-2           ,GKRASGR2,2020-02-02 19:00:00,2020,2,2,19,136.0,109.792,26.208,818.10086,818.10088
109,Красноярская ГРЭС-2           ,GKRASGR1,2020-02-02 20:00:00,2020,2,2,20,364.0,293.856,70.144,810.56824,810.56824
110,Череповецкая ГРЭС             ,GVOLOGE1,2020-02-02 21:00:00,2020,2,2,21,0.0,0.0,39.019,0.0,1158.969
111,Череповецкая ГРЭС             ,GVOLOG10,2020-02-02 22:00:00,2020,2,2,22,419.5,389.81,29.69,1041.05641,1041.0564
112,Сургутская ГРЭС-1             ,GTUMENE2,2020-02-02 23:00:00,2020,2,2,23,1398.0,1232.833,165.167,861.8306,861.83059
113,Сургутская ГРЭС-1             ,GTUMENE1,2020-02-03 00:00:00,2020,2,3,0,774.25,676.455,97.795,865.44616,865.44616
114,Троицкая ГРЭС                 ,GTROIGR4,2020-02-03 01:00:00,2020,2,3,1,0.0,0.0,8.295,0.0,918.53326
115,Троицкая ГРЭС                 ,GTROIGR3,2020-02-03 02:00:00,2020,2,3,2,0.0,0.0,0.0,0.0,906.9827
116,Троицкая ГРЭС                 ,GTROIGR1,2020-02-03 03:00:00,2020,2,3,3,35.0,35.0,0.0,913.64629,913.64629
117,Серовская ГРЭС                ,GSVERD30,2020-02-03 04:00:00,2020,2,3,4,427.68,377.643,50.037,910.61804,910.61803
118,Ставропольская ГРЭС           ,GSTAGRE6,2020-02-03 05:00:00,2020,2,3,5,0.0,0.0,0.0,0.0,1203.9031
119,Ставропольская ГРЭС           ,GSTAGRE5,2020-02-03 06:00:00,2020,2,3,6,165.0,105.033,59.967,1459.56461,1408.34418
120,Ставропольская ГРЭС           ,GSTAGRE4,2020-02-03 07:00:00,2020,2,3,7,155.0,95.033,59.967,1658.10182,1637.31703
121,Ставропольская ГРЭС           ,GSTAGRE2,2020-02-03 08:00:00,2020,2,3,8,280.0,158.388,121.612,1696.06397,1696.064
122,Ставропольская ГРЭС           ,GSTAGRE1,2020-02-03 09:00:00,2020,2,3,9,140.0,79.393,60.607,1767.00062,1767.00057
123,Рязанская ГРЭС                ,GRYAZGR4,2020-02-03 10:00:00,2020,2,3,10,0.0,0.0,10.222,0.0,1652.8024
124,Рязанская ГРЭС                ,GRYAZGR3,2020-02-03 11:00:00,2020,2,3,11,0.0,0.0,16.292,0.0,1679.9922
125,Рязанская ГРЭС                ,GRYAZGR2,2020-02-03 12:00:00,2020,2,3,12,0.0,0.0,20.444,0.0,1636.6565
126,Киришская ГРЭС                ,GKIRITES,2020-02-01 00:00:00,2020,2,1,0,175.0,147.508,27.492,943.11081,943.11086
127,Киришская ГРЭС                ,GKIRGRES,2020-02-01 01:00:00,2020,2,1,1,0.0,0.0,0.0,0.0,900.42786
128,Киришская ГРЭС                ,GKIRGRE5,2020-02-01 02:00:00,2020,2,1,2,0.0,0.0,0.24,0.0,830.7177
129,Киришская ГРЭС                ,GKIRGR02,2020-02-01 03:00:00,2020,2,1,3,385.183,349.924,35.259,820.0793,820.07931
130,Грозненская ТЭС               ,GCHECHE2,2020-02-01 04:00:00,2020,2,1,4,81.0,75.815,5.185,1206.94203,1206.94198
131,Грозненская ТЭС               ,GCHECHE1,2020-02-01 05:00:00,2020,2,1,5,0.0,0.0,2.358,0.0,1224.6392
132,Адлерская ТЭС                 ,GADLERT2,2020-02-01 06:00:00,2020,2,1,6,0.0,0.0,38.99,0.0,1181.9822
133,Адлерская ТЭС                 ,GADLERT1,2020-02-01 07:00:00,2020,2,1,7,164.404,146.598,17.806,1189.99782,1189.99805
